-17397.4,41680.8
-14959,40880.8
-11735,45229.5
-16023,40978.2
-16912.1,45569.1
-12819.3,35815.4
-9636.48,35284.1
-19424.2,47706.7
-25534.6,39084
-20277.6,54352.8
-9256.86,45754.3
-13659.2,47912.1
-30406.3,41271.2
-7232.43,43486.9
-16759.1,32920.3
-31696.3,48169.2
-10105.8,34910.6
-9999.76,35129.5
-12685.2,41214.3
-19178.4,44859.9
-8119.49,49645.4
-5348.85,55233.4
-12141.9,28039.9
-28137.7,42950.6
-24790.1,26013
-20062.1,31472.2
-13316.8,41109
21631.7,2775.52
-40745.2,44100.8
-4917.43,26935.1
4637.12,57223.6
-25030.1,66126
-2765.43,42735.4
-6397.81,16625.5
278.487,34040.4
13623.1,40961.1
-833.359,51045.5
-40324.2,90255.2
-55554.6,47387.8
-10131.5,7387.47
-51047,55255.6
-15052,38409.7
-16906.6,20624.8
-25729.6,44320.6
-35003.8,44562.4
-32355.9,24080.5
3904.47,36903.9
-5263.68,50784
-31710.3,48494
22724.2,51693.3
-22933,-16442
-11962.8,55109.6
1651.14,58618.3
-878.967,74450
-22125.9,53929.4
-33085.5,63846.9
23726.3,29503.9
34894.8,47488
-22746.1,466.054
39863.9,19486.5
-30775.2,78228.1
-33507.4,67781.1
-57589.9,38400.6
-38720.7,51029.3
-24470.2,45276.7
-59569.5,50256.2
-36199.4,27023
11990.8,27782.6
392.639,60400.5
-31332.7,19100.9
-8712.48,18787.7
-20928.9,35862.1
-11291.7,41989.7
-9092.36,642.673
-4545.5,47211.4
2960.9,30880.8
-16604,42920.3
-60797,64097.8
-32862,40276.6
-30050.9,35806.2
-6494.35,12546.4
-8353.64,34157.5
2097.37,21764.8
-10715.1,42108.4
-1772.91,39482.3
-19033,23589.8
-14701.1,13539.2
-20354.4,35783.7
-13825.3,34643.8
-20580.1,32250.8
-40042.7,39558
-18804.2,32248.3
-17113.8,39399.4
-2715.23,72805.4
-28533.9,37560.8
14309.7,68816.6
-27038.7,53131.9
2254.95,37318.2
-18130.9,24179.7
-20057.9,21249.1
-19730.7,42908
-19103.4,50387.1
-7208.98,15267.8
-2386.87,32282
-21852.6,52256.4
-8764.69,84336.4
-12910.2,90852.4
-50809.9,62164
-16658.8,24306.2
-22012.5,27097.4
-34702.3,38647.6
-27511.6,28926.4
-3602.1,37380.8
-25293,51517.2
-34547.5,29200.8
-41982.4,-8970.89
-32439.5,28675.7
-35341.5,40572.4
-34229.1,23448.7
768.771,30576.3
12555.8,51943.6
-53821.9,18316.4
-22167.4,48908
2772.66,63241.9
-28780.6,2746.56
-15251.3,36078.9
-26736.1,30343.8
-29972.1,31453.7
-14798.3,25721.4
-37162.8,20909.3
-42574.2,10678.5
-34426.7,23537.1
4986.63,5162.94
7012.25,21220.9
10477.2,27472.1
-522.511,26093.9
-30874.8,49811.3
-4436.36,25125.8
-10728.1,51725.2
-36132.4,25695
-11252.6,17318.9
918.065,28748.7
-20004.1,25696.9
-5002.45,12613.6
-17430,28751.3
8409.94,33006.9
2267.92,55705.1
-30331.2,37496.2
-8129.5,34118.3
-10917.8,41708.2
-3713.12,42315.7
-44518.5,47929.7
-4441.59,24364
-18168.9,44373.1
-24175,19653.9
-27020.7,32402.4
-15212.2,37080.2
-11260.2,31260
-8624.95,53884.7
-30438.1,42644.5
-14713.3,46916.8
-42016.1,27806.3
-31104.8,35323.3
-20494.3,21244.8
-21105.9,22810.8
-15304.2,28349.7
-20333.4,31951.7
-27008.8,29285.5
-16156.3,23507.9
-25854.7,31253.3
-24734.2,31096.8
-19667,42111.8
-31755,25697.5
-27646.5,23247.4
-9699.07,34434.2
-19186.2,27916.7
-20490.8,29300.5
-19285.3,27186.8
-10778.9,31948.2
-21139.7,29050
-16296.8,25701.7
-20093.1,25874.9
-15173.1,28292.3
-12774.7,23393.7
-20567.1,24731.9
-16770.7,22341
-12315.6,25198.3
-17097.8,26338.5
-23651.7,28433.2
-14979.6,28184.8
-16994.4,28620.1
-15638.1,24513.5
-20851.4,32513.6
-17999.2,27532.2
-20647.5,29348
-17623.8,33044.4
-17281.2,35744.9
-17340.2,29728.6
-11813.4,35311.3
-10878.5,27455.2
-19355.2,29784.6
-18090.7,27255.6
-17261.5,29410.6
-14974.4,28771.6
-18696,27991.4
-17626,29407.8
-18167,30883.9
-15925.4,27869.1
-24318.1,31627.1
-19303.1,27186.6
-19955.7,28526.2
-16347.5,35494
-20411.6,32290.6
-16437.6,28845.9
-15886.4,25754.9
-15829.6,27972.4
-20632,28385.2
-19247.1,34331.9
-17760.6,30135.2
-17012.5,35530.3
-17814.9,27580.9
-25374,32122.6
-22228.6,33797.1
-14301.9,24571.2
-17854.1,28125.5
-15889.4,29505.7
-19220,28914.4
-19793.6,26182.6
-16260.3,27362.9
-15744.7,26360.9
-21543.8,25340.9
-19361.3,27056
-23295.1,26403.8
-21521.7,27443.9
-15523.7,28521.7
-16059.8,25577.6
-18131.7,24488
-15241.4,26314
-16631,25223
-18348.6,30129.8
-18749.4,27967.4
-19544.6,26142.1
-16715.4,25699.7
-19105.9,28005.2
-18250.3,23283.2
-16398.7,29640.2
-16847.4,30289.7
-15035.7,28806
-15316.4,30007.4
-21468,27364.5
-15752.3,32397.1
